hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[64],16,relu,1.4e-05,0.4025,0.4471,0.286,6.95
[128],8,relu,1.2e-05,0.4478,0.4724,0.2906,6.83
[64],16,tanh,0.000314,0.3792,0.425,0.2918,27.01
[32],32,relu,6e-06,0.3961,0.4411,0.2873,9.84
[64],32,relu,5e-06,0.4171,0.4566,0.2902,10.65
[128],8,tanh,0.000306,0.3922,0.4482,0.2934,23.08
[32],32,tanh,0.000298,0.434,0.4648,0.2881,25.6
[32],4,relu,1e-06,0.4643,0.4777,0.278,23.78
[128],16,relu,8e-06,0.3994,0.442,0.2947,8.09
[64],32,tanh,0.000651,0.3891,0.4377,0.2953,10.13
[64],4,relu,6e-06,0.4054,0.4517,0.2953,11.83
[128],16,tanh,0.00069,0.3732,0.4226,0.2925,8.76
[32],4,tanh,0.000347,0.4574,0.4846,0.2818,15.12
[128],32,relu,4e-06,0.4089,0.4478,0.2861,13.54
[32],8,relu,1e-06,0.4066,0.4419,0.2972,24.42
[128],4,relu,4e-06,0.4044,0.4532,0.2927,10.73
[64],4,tanh,0.000498,0.433,0.4667,0.2884,15.64
[128],32,tanh,0.000399,0.4534,0.4809,0.2867,13.29
[128],4,tanh,0.000442,0.4611,0.4829,0.2836,12.92
[32],8,tanh,0.000257,0.4446,0.4716,0.2867,20.14
[64],8,relu,7e-06,0.4084,0.4501,0.2951,12.91
[32],16,relu,4e-06,0.3958,0.4397,0.2924,17.64
[64],8,tanh,0.000412,0.424,0.4622,0.2904,13.95
[32],16,tanh,0.00048,0.3976,0.4427,0.295,16.77
"[32, 16]",32,relu,3e-05,0.4133,0.4512,0.2882,8.07
"[32, 16]",32,tanh,0.000425,0.4444,0.4637,0.2917,17.8
"[64, 32]",16,relu,6e-06,0.4038,0.4459,0.298,15.3
"[128, 64]",8,relu,5e-06,0.4133,0.4591,0.2937,14.61
"[32, 16]",4,relu,5e-06,0.4476,0.4722,0.2867,21.97
"[64, 32]",16,tanh,0.000534,0.399,0.4441,0.2974,14.66
"[32, 16]",4,tanh,0.001058,0.4572,0.4793,0.284,17.04
"[128, 64]",8,tanh,0.000553,0.4382,0.4693,0.2853,27.68
"[64, 32]",4,relu,6e-06,0.4004,0.4498,0.2909,32.57
"[64, 32]",32,relu,6e-06,0.3968,0.4411,0.2925,12.14
"[128, 64]",16,relu,3e-06,0.3877,0.429,0.2911,12.42
"[32, 16]",8,relu,4.3e-05,0.4157,0.4534,0.292,7.95
"[64, 32]",32,tanh,0.000882,0.4312,0.4666,0.287,12.2
"[64, 32]",4,tanh,0.000701,0.4648,0.485,0.284,18.04
"[128, 64]",16,tanh,0.000561,0.386,0.4332,0.2946,13.99
"[128, 64]",4,relu,1e-05,0.4576,0.4882,0.2846,15.7
"[32, 16]",8,tanh,0.00068,0.3994,0.444,0.2908,14.26
"[128, 64]",32,relu,1e-05,0.3846,0.4346,0.2908,7.85
"[32, 16]",16,relu,1.5e-05,0.402,0.4419,0.2912,10.31
"[128, 64]",4,tanh,0.001021,0.4684,0.4888,0.2811,10.1
"[64, 32]",8,relu,6e-06,0.4103,0.4466,0.2909,15.04
"[128, 64]",32,tanh,0.000322,0.4255,0.4607,0.291,18.28
"[32, 16]",16,tanh,0.000564,0.3846,0.4314,0.296,15.4
"[64, 32]",8,tanh,0.000522,0.3874,0.4352,0.2927,19.13
"[64, 32, 16]",16,relu,1.2e-05,0.4104,0.4476,0.2914,18.17
"[128, 64, 32]",8,relu,1.4e-05,0.3872,0.4453,0.2939,10.0
"[32, 16, 8]",4,relu,7e-06,0.4195,0.4469,0.2909,24.71
"[64, 32, 16]",16,tanh,0.000636,0.3938,0.4401,0.2958,16.41
"[32, 16, 8]",32,relu,2.2e-05,0.4099,0.4529,0.296,13.65
"[128, 64, 32]",8,tanh,0.001643,0.4478,0.4707,0.2819,17.43
"[32, 16, 8]",4,tanh,0.000424,0.4491,0.4797,0.2884,22.1
"[64, 32, 16]",32,relu,1e-05,0.3928,0.4419,0.2888,16.76
"[128, 64, 32]",16,relu,9e-06,0.3879,0.4343,0.2979,12.19
"[32, 16, 8]",32,tanh,0.000214,0.4086,0.4524,0.2932,31.46
"[32, 16, 8]",8,relu,6e-06,0.4014,0.4505,0.296,20.03
"[128, 64, 32]",16,tanh,0.000939,0.4018,0.4495,0.2964,14.93
"[64, 32, 16]",32,tanh,0.000483,0.4122,0.4569,0.2882,18.91
"[64, 32, 16]",4,relu,1.2e-05,0.4005,0.4481,0.3022,14.28
"[32, 16, 8]",8,tanh,0.000275,0.4486,0.4778,0.2865,22.4
"[128, 64, 32]",32,relu,7e-06,0.4115,0.4573,0.2908,18.32
"[64, 32, 16]",4,tanh,0.000476,0.4125,0.4555,0.2928,23.25
"[128, 64, 32]",4,relu,1.5e-05,0.446,0.468,0.2862,28.08
"[32, 16, 8]",16,relu,3.3e-05,0.4105,0.4514,0.2972,16.43
"[128, 64, 32]",32,tanh,0.001551,0.4258,0.4557,0.2873,26.72
"[64, 32, 16]",8,relu,5.3e-05,0.3857,0.4347,0.293,8.08
"[128, 64, 32]",4,tanh,0.001687,0.393,0.4468,0.2948,11.12
"[32, 16, 8]",16,tanh,0.000562,0.4058,0.4509,0.2966,16.41
"[64, 32, 16]",8,tanh,0.001172,0.4208,0.4641,0.2882,14.86
[64],16,relu,8e-06,0.6211,0.6326,0.4023,23.84
[32],32,relu,1.4e-05,0.6181,0.6343,0.4052,20.83
[64],16,tanh,0.000295,0.627,0.6361,0.4021,16.92
[128],8,relu,1e-05,0.6345,0.6385,0.4032,21.67
[32],4,relu,3e-06,0.6403,0.6438,0.3969,26.72
[128],8,tanh,0.00067,0.6402,0.6437,0.4059,11.64
[64],32,relu,1.8e-05,0.6274,0.636,0.4019,13.36
[32],32,tanh,0.000281,0.6148,0.6323,0.405,17.6
[64],32,tanh,0.000504,0.6338,0.635,0.404,13.18
[128],16,relu,1.9e-05,0.6252,0.6308,0.3981,16.26
[32],4,tanh,0.000297,0.6424,0.6488,0.4049,20.45
[64],4,relu,7e-06,0.6324,0.6392,0.3988,19.54
[32],8,relu,1.6e-05,0.6181,0.629,0.4022,14.78
[128],16,tanh,0.000216,0.6257,0.6372,0.4015,16.33
[128],4,relu,2.2e-05,0.6406,0.6493,0.4071,13.16
[64],4,tanh,0.000418,0.6254,0.6383,0.4038,12.95
[128],32,relu,1.9e-05,0.6254,0.635,0.3975,13.2
[32],8,tanh,0.000244,0.6172,0.6334,0.4098,24.84
[128],4,tanh,0.00046,0.6298,0.6398,0.4054,23.82
[64],8,relu,9e-06,0.6241,0.6345,0.4021,18.59
[128],32,tanh,0.000244,0.613,0.627,0.401,17.24
[32],16,relu,5e-06,0.6247,0.6325,0.4016,27.86
[64],8,tanh,0.000314,0.6361,0.6402,0.4041,15.11
[32],16,tanh,0.00023,0.6296,0.6392,0.4053,19.33
"[64, 32]",16,relu,2.7e-05,0.6212,0.6344,0.404,16.69
"[64, 32]",16,tanh,0.00065,0.6198,0.6342,0.3992,15.13
"[32, 16]",4,relu,7.3e-05,0.6156,0.6297,0.4018,12.18
"[128, 64]",8,relu,2.9e-05,0.6096,0.6209,0.4023,16.8
"[32, 16]",32,relu,1.3e-05,0.6226,0.6332,0.4041,18.71
"[64, 32]",32,relu,3.7e-05,0.6178,0.6355,0.4046,18.05
"[128, 64]",8,tanh,0.000475,0.6352,0.644,0.4056,19.75
"[32, 16]",4,tanh,0.000445,0.6497,0.653,0.3894,27.63
"[32, 16]",32,tanh,0.000404,0.624,0.6395,0.403,19.43
"[128, 64]",16,relu,3.9e-05,0.6213,0.6329,0.4011,11.41
"[64, 32]",32,tanh,0.000158,0.6179,0.6352,0.4042,27.29
"[128, 64]",16,tanh,0.000539,0.617,0.6257,0.4028,17.3
"[32, 16]",8,relu,1e-05,0.6138,0.6247,0.4068,27.13
"[128, 64]",4,relu,2.5e-05,0.6343,0.639,0.4077,16.96
"[64, 32]",4,relu,2.1e-05,0.6435,0.6481,0.4025,20.6
"[128, 64]",32,relu,4.5e-05,0.617,0.6227,0.3969,11.3
"[32, 16]",8,tanh,0.000407,0.6342,0.6387,0.4048,19.63
"[128, 64]",4,tanh,0.00036,0.6266,0.6357,0.4004,26.03
"[64, 32]",4,tanh,0.000797,0.6301,0.6384,0.404,22.17
"[128, 64]",32,tanh,0.000727,0.6303,0.6371,0.4036,12.73
"[32, 16]",16,relu,2.6e-05,0.6309,0.6452,0.4091,18.32
"[64, 32]",8,relu,8.8e-05,0.6323,0.6388,0.4043,11.2
"[32, 16]",16,tanh,0.000459,0.6256,0.6321,0.4029,14.82
"[64, 32]",8,tanh,0.000632,0.6346,0.6416,0.4047,12.74
"[64, 32, 16]",16,relu,0.00012,0.6224,0.6324,0.4034,10.31
"[32, 16, 8]",4,relu,2e-05,0.6376,0.6444,0.3877,31.07
"[64, 32, 16]",16,tanh,0.000334,0.6266,0.6427,0.4101,23.16
"[32, 16, 8]",32,relu,3.5e-05,0.6152,0.6244,0.4039,33.53
"[32, 16, 8]",4,tanh,0.000719,0.6351,0.6409,0.4017,17.2
"[128, 64, 32]",8,relu,5.2e-05,0.6305,0.6366,0.4023,15.22
"[64, 32, 16]",32,relu,5.4e-05,0.6211,0.6334,0.4076,11.23
"[32, 16, 8]",32,tanh,0.0009,0.6348,0.6445,0.4038,15.62
"[64, 32, 16]",32,tanh,0.000739,0.622,0.6358,0.4043,14.14
"[128, 64, 32]",8,tanh,0.000683,0.6281,0.6374,0.4067,18.5
"[32, 16, 8]",8,relu,2.5e-05,0.6342,0.6415,0.4012,25.97
"[64, 32, 16]",4,relu,0.013024,0.6236,0.6321,0.3989,35.37
"[128, 64, 32]",4,relu,0.000137,0.6093,0.6197,0.4065,10.3
"[128, 64, 32]",16,relu,6.4e-05,0.6193,0.6307,0.4029,16.14
"[32, 16, 8]",8,tanh,0.000941,0.6174,0.6311,0.4091,23.25
"[128, 64, 32]",4,tanh,0.001263,0.6324,0.6424,0.3976,15.96
"[64, 32, 16]",4,tanh,0.000517,0.627,0.6407,0.4064,22.93
"[32, 16, 8]",16,relu,0.00011,0.6254,0.6302,0.4075,16.48
"[128, 64, 32]",16,tanh,0.000374,0.627,0.6368,0.4094,40.13
"[32, 16, 8]",16,tanh,0.000444,0.625,0.6338,0.3937,23.0
"[128, 64, 32]",32,relu,4.8e-05,0.6154,0.6332,0.4053,12.24
"[64, 32, 16]",8,relu,3.5e-05,0.6443,0.6444,0.3925,26.18
"[128, 64, 32]",32,tanh,0.000384,0.632,0.6383,0.399,22.61
"[64, 32, 16]",8,tanh,0.000296,0.6341,0.6342,0.4017,25.58
